taxa_name	superkingdom	phylum	class	order	family	genus
Mobiluncus	Bacteria	Actinobacteria	Actinomycetia	Actinomycetales	Actinomycetaceae	Mobiluncus
Pasteurella	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Pasteurella
Porphyromonas	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonas
Lactobacillus_1	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus
Clostridiales_17	Bacteria	Firmicutes	Clostridia	Eubacteriales	NA	NA
Klebsiella	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella
Lactobacillales_2	Bacteria	Firmicutes	Bacilli	Lactobacillales	NA	NA
Gemella	Bacteria	Firmicutes	Bacilli	Bacillales	NA	Gemella
Ruminococcaceae_4	Bacteria	Firmicutes	Clostridia	Eubacteriales	Oscillospiraceae	NA
Lactobacillales_5	Bacteria	Firmicutes	Bacilli	Lactobacillales	NA	NA
Ruminococcaceae_Incertae_Sedis	Bacteria	Firmicutes	Clostridia	Eubacteriales	Oscillospiraceae	NA
Lactobacillales_6	Bacteria	Firmicutes	Bacilli	Lactobacillales	NA	NA
Campylobacter	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter
Fusobacterium	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium
Lactobacillus_4	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus
Lachnospiraceae_Incertae_Sedis	Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	NA
Lachnospiraceae_7	Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	NA
Actinomyces	Bacteria	Actinobacteria	Actinomycetia	Actinomycetales	Actinomycetaceae	Actinomyces
Moryella	Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	Moryella
Bacteroidetes_8	Bacteria	Bacteroidetes	NA	NA	NA	NA
Anaeroglobus	Bacteria	Firmicutes	Negativicutes	Veillonellales	Veillonellaceae	Anaeroglobus
Propionibacterium	Bacteria	Actinobacteria	Actinomycetia	Propionibacteriales	Propionibacteriaceae	Propionibacterium
Bifidobacterium	Bacteria	Actinobacteria	Actinomycetia	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium
Lachnospiraceae_4	Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	NA
Varibaculum	Bacteria	Actinobacteria	Actinomycetia	Actinomycetales	Actinomycetaceae	Varibaculum
Prevotellaceae_1	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	NA
Lactobacillus_2	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus
Exiguobacterium	Bacteria	Firmicutes	Bacilli	Bacillales	NA	Exiguobacterium
Proteobacteria_1	Bacteria	Proteobacteria	NA	NA	NA	NA
Bacteroidales_1	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	NA	NA
Enterobacter	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter
Facklamia	Bacteria	Firmicutes	Bacilli	Lactobacillales	Aerococcaceae	Facklamia
Segniliparus	Bacteria	Actinobacteria	Actinomycetia	Corynebacteriales	Segniliparaceae	Segniliparus
Rothia	Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Micrococcaceae	Rothia
Proteobacteria_2	Bacteria	Proteobacteria	NA	NA	NA	NA
Peptococcus	Bacteria	Firmicutes	Clostridia	Eubacteriales	Peptococcaceae	Peptococcus
Enterococcus	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus
Arcanobacterium	Bacteria	Actinobacteria	Actinomycetia	Actinomycetales	Actinomycetaceae	Arcanobacterium
Dethiosulfovibrio	Bacteria	Synergistetes	Synergistia	Synergistales	Synergistaceae	Dethiosulfovibrio
Brevibacterium	Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Brevibacteriaceae	Brevibacterium
Lactobacillales_7	Bacteria	Firmicutes	Bacilli	Lactobacillales	NA	NA
Lactobacillales_1	Bacteria	Firmicutes	Bacilli	Lactobacillales	NA	NA
Flavobacteriaceae_4	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	NA
Lactobacillus_3	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus
Enterobacteriaceae_1	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	NA
Coriobacteriaceae_2	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	NA
Bulleidia	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Bulleidia
Clostridium	Bacteria	Firmicutes	Clostridia	Eubacteriales	Clostridiaceae	Clostridium
Lachnospiraceae_9	Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	NA
Arthrobacter	Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Micrococcaceae	Arthrobacter
Sutterella	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Sutterellaceae	Sutterella
Neisseria	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria
Coriobacteriaceae_1	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	NA
Citrobacter	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Citrobacter
Dorea	Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	Dorea
Lactococcus	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus
Lachnospiraceae_6	Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	NA
Granulicatella	Bacteria	Firmicutes	Bacilli	Lactobacillales	Carnobacteriaceae	Granulicatella
Clostridiales_1	Bacteria	Firmicutes	Clostridia	Eubacteriales	NA	NA
Alistipes	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes
Bacteroidetes_12	Bacteria	Bacteroidetes	NA	NA	NA	NA
Bacteria_4	Bacteria	NA	NA	NA	NA	NA
Actinobaculum	Bacteria	Actinobacteria	Actinomycetia	Actinomycetales	Actinomycetaceae	Actinobaculum
Enterobacteriaceae_5	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	NA
Clostridiales_15	Bacteria	Firmicutes	Clostridia	Eubacteriales	NA	NA
Oerskovia	Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Cellulomonadaceae	Oerskovia
Bacteroidetes_5	Bacteria	Bacteroidetes	NA	NA	NA	NA
Lachnospiraceae_2	Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	NA
Lachnospiraceae_1	Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	NA
Ruminococcus	Bacteria	Firmicutes	Clostridia	Eubacteriales	Oscillospiraceae	Ruminococcus
Scardovia	Bacteria	Actinobacteria	Actinomycetia	Bifidobacteriales	Bifidobacteriaceae	Scardovia
Anaerovorax	Bacteria	Firmicutes	Clostridia	Eubacteriales	Eubacteriales Family XIII. Incertae Sedis	Anaerovorax
Propionimicrobium	Bacteria	Actinobacteria	Actinomycetia	Propionibacteriales	Propionibacteriaceae	Propionimicrobium
Fastidiosipila	Bacteria	Firmicutes	Clostridia	Eubacteriales	Oscillospiraceae	Fastidiosipila
Stenotrophomonas	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Stenotrophomonas
Megamonas	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Selenomonadaceae	Megamonas
Enterobacteriaceae_8	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	NA
Pseudomonas	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
Roseburia	Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	Roseburia
Gallicola	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Gallicola
Haemophilus	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Haemophilus
Bacteroidetes_1	Bacteria	Bacteroidetes	NA	NA	NA	NA
Parabacteroides	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Tannerellaceae	Parabacteroides
Acidovorax	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax
Kocuria	Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Micrococcaceae	Kocuria
Helcococcus	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Helcococcus
Acinetobacter	Bacteria	Proteobacteria	Gammaproteobacteria	Moraxellales	Moraxellaceae	Acinetobacter
Clostridiales_6	Bacteria	Firmicutes	Clostridia	Eubacteriales	NA	NA
Serratia	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Serratia
Coprobacillus	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Coprobacillaceae	Coprobacillus
Burkholderiales_2	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	NA	NA
Atopobacter	Bacteria	Firmicutes	Bacilli	Lactobacillales	Carnobacteriaceae	Atopobacter
Subdoligranulum	Bacteria	Firmicutes	Clostridia	Eubacteriales	Oscillospiraceae	Subdoligranulum
Coriobacteriaceae_3	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	NA
Clostridiales_11	Bacteria	Firmicutes	Clostridia	Eubacteriales	NA	NA
Bacteroidales_2	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	NA	NA
Bacteroidetes_7	Bacteria	Bacteroidetes	NA	NA	NA	NA
Clostridiales_4	Bacteria	Firmicutes	Clostridia	Eubacteriales	NA	NA
Sphingomonas	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas
TM7_genera_incertae_sedis	NA	NA	NA	NA	NA	NA
Collinsella	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella
Erysipelotrichaceae_Incertae_Sedis	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	NA
Bacillus_j	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus
Coprococcus	Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	Coprococcus
Skermanella	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Azospirillaceae	Skermanella
Ruminococcaceae_2	Bacteria	Firmicutes	Clostridia	Eubacteriales	Oscillospiraceae	NA
GpI	NA	NA	NA	NA	NA	NA
Neisseriaceae_1	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	NA
Bacteroidetes_3	Bacteria	Bacteroidetes	NA	NA	NA	NA
Lachnospiraceae_5	Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	NA
Peptostreptococcaceae_Incertae_Sedis	Bacteria	Firmicutes	Clostridia	Eubacteriales	Peptostreptococcaceae	NA
Capnocytophaga	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Capnocytophaga
Betaproteobacteria_3	Bacteria	Proteobacteria	Betaproteobacteria	NA	NA	NA
Bacteria_17	Bacteria	NA	NA	NA	NA	NA
Clostridiales_16	Bacteria	Firmicutes	Clostridia	Eubacteriales	NA	NA
Dermabacter	Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Dermabacteraceae	Dermabacter
Bacteria_22	Bacteria	NA	NA	NA	NA	NA
Slackia	Bacteria	Actinobacteria	Coriobacteriia	Eggerthellales	Eggerthellaceae	Slackia
Bacteria_19	Bacteria	NA	NA	NA	NA	NA
Micrococcus	Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Micrococcaceae	Micrococcus
Clostridiales_8	Bacteria	Firmicutes	Clostridia	Eubacteriales	NA	NA
Enterobacteriaceae_7	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	NA
Bacteria_5	Bacteria	NA	NA	NA	NA	NA
Clostridiales_2	Bacteria	Firmicutes	Clostridia	Eubacteriales	NA	NA
Bacteria_15	Bacteria	NA	NA	NA	NA	NA
Ruminococcaceae_1	Bacteria	Firmicutes	Clostridia	Eubacteriales	Oscillospiraceae	NA
Paenibacillus	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus
Flavobacterium	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium
Flexibacteraceae_2	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Flexibacteraceae	NA
Bacteria_12	Bacteria	NA	NA	NA	NA	NA
Janthinobacterium	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Janthinobacterium
Succinispira	Bacteria	Firmicutes	Negativicutes	Acidaminococcales	Acidaminococcaceae	Succinispira
Salmonella	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella
Ruminococcaceae_6	Bacteria	Firmicutes	Clostridia	Eubacteriales	Oscillospiraceae	NA
Bacteria_23	Bacteria	NA	NA	NA	NA	NA
Firmicutes_3	Bacteria	Firmicutes	NA	NA	NA	NA
Enterobacteriaceae_2	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	NA
Incertae_sedis_5_2	NA	NA	NA	NA	NA	NA
GpIX	NA	NA	NA	NA	NA	NA
Proteobacteria_9	Bacteria	Proteobacteria	NA	NA	NA	NA
Bacteria_6	Bacteria	NA	NA	NA	NA	NA
Proteobacteria_13	Bacteria	Proteobacteria	NA	NA	NA	NA
Bacteroidetes_11	Bacteria	Bacteroidetes	NA	NA	NA	NA
Lachnospiraceae_3	Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	NA
Fusobacteriaceae_1	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	NA
Duganella	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Duganella
Bacteroidetes_4	Bacteria	Bacteroidetes	NA	NA	NA	NA
Luteococcus	Bacteria	Actinobacteria	Actinomycetia	Propionibacteriales	Propionibacteriaceae	Luteococcus
Firmicutes_2	Bacteria	Firmicutes	NA	NA	NA	NA
Catenibacterium	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Coprobacillaceae	Catenibacterium
SR1_genera_incertae_sedis	NA	NA	NA	NA	NA	NA
Crenotrichaceae_1	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Crenotrichaceae	NA
Dermabacteraceae_1	Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Dermabacteraceae	NA
Pantoea	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Pantoea
Proteobacteria_11	Bacteria	Proteobacteria	NA	NA	NA	NA
Acidaminococcus	Bacteria	Firmicutes	Negativicutes	Acidaminococcales	Acidaminococcaceae	Acidaminococcus
Veillonellaceae_1	Bacteria	Firmicutes	Negativicutes	Veillonellales	Veillonellaceae	NA
Flexibacteraceae_4	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Flexibacteraceae	NA
Enhydrobacter	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	NA	Enhydrobacter
Firmicutes_4	Bacteria	Firmicutes	NA	NA	NA	NA
Clostridia_2	Bacteria	Firmicutes	Clostridia	NA	NA	NA
Methylobacterium	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Methylobacteriaceae	Methylobacterium
Bacilli_4	Bacteria	Firmicutes	Bacilli	NA	NA	NA
Bacteria_8	Bacteria	NA	NA	NA	NA	NA
Enterococcaceae_1	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	NA
Firmicutes_5	Bacteria	Firmicutes	NA	NA	NA	NA
Chryseobacterium	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Weeksellaceae	Chryseobacterium
Aquabacterium	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	NA	Aquabacterium
Jeotgalicoccus	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Jeotgalicoccus
Conchiformibius	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Conchiformibius
Proteobacteria_14	Bacteria	Proteobacteria	NA	NA	NA	NA
Bacteria_11	Bacteria	NA	NA	NA	NA	NA
Bacteroidetes_9	Bacteria	Bacteroidetes	NA	NA	NA	NA
Rhodococcus	Bacteria	Actinobacteria	Actinomycetia	Corynebacteriales	Nocardiaceae	Rhodococcus
Flexibacteraceae_3	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Flexibacteraceae	NA
Ruminococcaceae_5	Bacteria	Firmicutes	Clostridia	Eubacteriales	Oscillospiraceae	NA
Actinobacillus	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Actinobacillus
Zimmermannella	Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Microbacteriaceae	Pseudoclavibacter
Proteobacteria_15	Bacteria	Proteobacteria	NA	NA	NA	NA
Incertae_sedis_5_1	NA	NA	NA	NA	NA	NA
Clostridiales_5	Bacteria	Firmicutes	Clostridia	Eubacteriales	NA	NA
OD1_genera_incertae_sedis	NA	NA	NA	NA	NA	NA
Firmicutes_1	Bacteria	Firmicutes	NA	NA	NA	NA
Bilophila	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Bilophila
Clostridiales_9	Bacteria	Firmicutes	Clostridia	Eubacteriales	NA	NA
Clostridiales_7	Bacteria	Firmicutes	Clostridia	Eubacteriales	NA	NA
Leptotrichia	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Leptotrichiaceae	Leptotrichia
Bradyrhizobium	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Bradyrhizobiaceae	Bradyrhizobium
Flexibacteraceae_5	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Flexibacteraceae	NA
Rhizobium	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Rhizobiaceae	Rhizobium
Proteobacteria_3	Bacteria	Proteobacteria	NA	NA	NA	NA
Ruminococcaceae_8	Bacteria	Firmicutes	Clostridia	Eubacteriales	Oscillospiraceae	NA
Rhodoferax	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Rhodoferax
Methylovorus	Bacteria	Proteobacteria	Betaproteobacteria	Nitrosomonadales	Methylophilaceae	Methylovorus
Janibacter	Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Intrasporangiaceae	Janibacter
Corynebacterineae_1	Bacteria	Actinobacteria	Actinomycetia	Corynebacteriales	NA	NA
Riemerella	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Weeksellaceae	Riemerella
Turicella	Bacteria	Actinobacteria	Actinomycetia	Corynebacteriales	Corynebacteriaceae	Corynebacterium
Pseudomonadaceae_1	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	NA
Gp8	NA	NA	NA	NA	NA	NA
Clostridiales_10	Bacteria	Firmicutes	Clostridia	Eubacteriales	NA	NA
Novosphingobium	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Novosphingobium
Flexibacteraceae_1	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Flexibacteraceae	NA
Microbacteriaceae_1	Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Microbacteriaceae	NA
Bacillales_5	Bacteria	Firmicutes	Bacilli	Bacillales	NA	NA
Selenomonas	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Selenomonadaceae	Selenomonas
Roseomonas	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Roseomonas
Polaromonas	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Polaromonas
Patulibacter	Bacteria	Actinobacteria	Thermoleophilia	Solirubrobacterales	Patulibacteraceae	Patulibacter
Gordonia	Bacteria	Actinobacteria	Actinomycetia	Corynebacteriales	Gordoniaceae	Gordonia
Flectobacillus	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Spirosomaceae	Flectobacillus
Dermacoccus	Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Dermacoccaceae	Dermacoccus
Bacillus_c	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus
Clostridiales_18	Bacteria	Firmicutes	Clostridia	Eubacteriales	NA	NA
Proteobacteria_16	Bacteria	Proteobacteria	NA	NA	NA	NA
Simplicispira	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Simplicispira
Bacilli_2	Bacteria	Firmicutes	Bacilli	NA	NA	NA
Microbacterium	Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Microbacteriaceae	Microbacterium
